SMILES,PC ,Nitrogen density (g/cm3),OB,Nm,HB amount,strongest HB length,strongest HB strength,gasous N2,gasous H2O,gasous CO2, solid C,gasous NH3,gasous O2,Type1,Length1 ,Strength 1,Qmax,D,pC-J,LE
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.C1COCCO1.C1COCCO1.C1COCCO1.C1COCCO1,71.8,0.35,-81.4,10,103.5,2,11.35,13.95,39.54,2.33,44.19,0,0,O-C,1.47,81.88,1427.5,8.5,33.24,113.45
O=N(=O)C1=NNC(=N1)Nc1nnc(NC2=NC(=NN2)N(=O)=O)nn1.CN(C)C=O.CN(C)C=O,65.76,0.8,-111.98,2,200.06,1.62,29.62,16.81,21.24,0,47.79,14.16,0,N-C,1.45,109.97,656.6,5.38,10.91,137.35
CC#N.O=N(=O)C1=NN2CCN3N=C(C(=C3C2=C1N(=O)=O)N(=O)=O)N(=O)=O,70.61,0.58,-56.55,6,138.06,2.23,3.4,26.56,17.19,16.41,39.84,0,0,C-C,1.53,80.48,1261.6,7.52,25.21,42.98
Nc1c(c(N2C=NC=N2)c(c(N2C=NC=N2)c1N(=O)=O)N(=O)=O)N(=O)=O.CC#N,68,0.6,-89.26,4,170.73,1.89,22.38,25,20.45,3.41,51.14,0,0,N-C ,1.48,100.14,1029.3,6.26,16.07,50.11
O=C1NN=C(N1)N(=O)=O.C1CNC2=NN=NN2N1,72,0.92,-68.7,8,87.5,1.7,30.71,35,22.5,0,37.5,5,0,C-C,1.54,78.93,741.1,6.7,19.52,65.5
O=N(=O)c1cccc2ccccc12.Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,69.9,0.22,-111.4,4,100.7,2.31,2.29,8.7,21.74,8.7,60.87,0,0,N-C,1.47,103.11,1124.3,6.08,15.48,43.2
[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21.CNc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,73.3,0.5,-55,8,58.7,2.49,2.39,23.81,14.29,21.43,40.48,0,0,O-N,1.63,44.29,1327,7.51,25.04,38.92
[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21.Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,74.4,0.53,-46.6,8,45.3,2.42,2.16,26.32,10.53,26.32,36.84,0,0,O-N,1.63,44.94,1322.6,7.77,27.49,35.96
[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21.[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21.Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O.Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,72.9,0.46,-55.1,8,52.5,2.49,1.1,22.5,12.5,23.75,41.25,0,0,O-N,1.64,43.51,1387.1,7.54,25.27,33.8
[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21.O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,72.1,0.48,-46.4,8,36.4,2.37,1.31,25,8.33,29.17,37.5,0,0,O-N,1.64,45.05,1410.1,7.72,26.84,32.02
O=N(=O)N1CC(C1)(N(=O)=O)N(=O)=O.[O]N1=C2C(=NO1)C1=N([O])ON=C1C1=N([O])ON=C21,70.7,0.58,-28.8,4,57.9,2.41,2.16,31.25,12.5,31.25,25,0,0,O-N,1.65,43.08,1484.9,8.38,32.13,34.72
O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O.O=N1ONc2c1c1NON(=O)c1c1NON(=O)c21,73,0.68,-20.9,8,61.7,2.47,3.37,37.5,12.5,31.25,18.75,0,0,O-N,1.64,43.5,1250.3,8.12,29.95,39.54
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)c1cccc2ccccc12,71.4,0.22,-127.9,4,95.4,2.47,1.49,8,24,4,64,0,0,C-C,1.5,96.38,1154.2,5.86,14.18,42.26
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O,76.2,0.58,-32.5,16,114.9,2.33,3.03,28.85,21.15,24.04,25.96,0,0,C-C,1.6,87.74,1357,8.34,31.98,52.7
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)c1cccc(c1)N(=O)=O,74.8,0.61,-34.3,16,106.4,2.21,4.27,29.17,20.83,22.92,27.08,0,0,C-C ,1.59,88.64,1343.7,8.39,32.64,50.84
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.CN(C)C=O.CN(C)C=O,0,0.57,-54.8,6,104.8,2.21,4.23,24.14,34.48,6.9,34.48,0,0,C-C,1.61,86.35,1151.5,7.56,24.93,73.05
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.CN1CCCC1=O.CN1CCCC1=O.O,69.3,0.5,-73.3,12,115.7,1.76,17.1,19.44,36.11,2.78,41.67,0,0,C-C,1.54,76.29,1044.1,6.99,20.77,72.63/72.61
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,77.7,0.69,-13.6,6,125.9,1.99,6.38,38.1,23.81,26.19,11.91,0,0,C-C,1.59,88.61,1401.3,8.64,33.98,30.65
NC1=C(N=NC2=C(C(=NN12)C1=NN2C(=C(N=NC2=C1N(=O)=O)N(=O)=O)N)N(=O)=O)N(=O)=O.CO.CO.CN(=O)=O,70.49,0.74,-59.99,2,171.57,1.66,25.39,26.79,26.79,8.04,38.39,0,0,N-C,1.47,108.14,1038.8,7.16,22.27,106.18
