SMILES,PC ,Nitrogen density (g/cm3),OB,Nm,HB amount,strongest HB length,strongest HB strength,gasous N2,gasous H2O,gasous CO2, solid C,gasous NH3,gasous O2,Type1,Length1 ,Strength 1,Qmax,D,pC-J,LE
O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O.O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O,74.9,0.68,-21.6,8,122.7,2.13,5.07,33.33,33.33,16.67,16.67,0,0,N-C ,1.47,99.28,1312.1,8.51,32.69,28.27
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,78.8,0.71,-21.6,2,137.9,2.23,4.58,33.33,33.33,16.67,16.67,0,0,N-C ,1.47,103.39,1307.2,8.74,35.35,41.56
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,81.3,0.72,-21.6,2,154.4,2.32,2.23,33.33,33.33,16.67,16.67,0,0,N-C ,7.92,95.58,1300.3,8.84,36.47,37.81
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O,74,0.66,-21.6,6,141.8,2.34,3.25,33.33,33.33,16.67,16.67,0,0,N-C ,1.46,101.85,1319.9,8.38,31.27,37.52
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,75.6,0.75,-11,4,113.9,2.32,2.64,40,20,30,10,0,0,C-C ,1.61,87.07,1399,9.1,39.37,27.89
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,74,0.72,-11,4,114.1,2.22,3.91,40,20,30,10,0,0,C-C ,1.59,87.53,1394.8,8.84,36.36,29.96
O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O,78,0.77,-11,4,114.8,2.36,2.62,40,20,30,10,0,0,C-C ,1.6,87.71,1399.5,9.28,41.61,29.46
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O.O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,71.3,0.33,-56.3,8,58.3,2.32,2.4,16.67,16.67,25,41.67,0,0,N-C ,1.48,99.98,1337,7.3,23.25,18.97
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O.Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,76,0.32,-74,8,94.8,2.32,3.53,13.64,22.73,15.91,47.73,0,0,C-C ,1.49,93.08,1290.1,7.15,22.35,21.32
Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,74.7,0.44,-56.1,4,86.9,2.22,4.65,20,20,20,40,0,0,N-C ,1.46,108,1160.1,7.46,25.1,22.32
Nc1cc(cc(c1O)N(=O)=O)N(=O)=O.Nc1cc(cc(c1O)N(=O)=O)N(=O)=O,72.8,0.36,-76.3,4,101.2,1.99,9.18,15,25,12.5,47.5,0,0,O-C,1.36,101.04,951.9,6.73,19.96,24.73
Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O.Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,74.8,0.33,-45.4,8,74.1,2.29,2.8,16.67,16.67,30.56,36.11,0,0,N-C ,1.47,101.68,1244.5,7.58,25.89,20.4
OC(=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,72.9,0.29,-46.7,4,68.6,1.59,24.58,15,15,32.5,37.5,0,0,N-C,1.48,100.06,1175.4,7.38,24.48,25.17
Nc1c(cc(c(N)c1N(=O)=O)N(=O)=O)N(=O)=O,76.4,0.54,-55.9,2,91.7,2.1,6.95,22.73,22.73,15.91,38.64,0,0,N-C,1.45,115.68,1008.3,7.5,25.98,26.26
O=N(=O)c1cc(nc(c1)N(=O)=O)N(=O)=O.O=N(=O)c1cc(nc(c1)N(=O)=O)N(=O)=O,72.7,0.47,-37.4,14,56.5,2.24,3.9,25,12.5,31.25,31.25,0,0,N-C,1.5,94.5,1356.7,7.84,27.59,20.27
N#[N+]C1CC(N(=O)=O)CC(N(=O)=O)C1=O,72.9,0.46,-60.9,4,61.5,2.43,1.33,22.22,11.11,22.22,44.44,0,0,N-C,1.47,102.92,1249.7,7.17,22.69,17.52
